month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,1983-12,52.80154981843625,37.89974487175804,48.081668762612665,102.13662015581266,-16.982560417688592,99.15444555095947,-1.5427121814962321,1.4789581635446307,43.2508430642213,16.84352178792094,17.7,57.54561732054918,236.39999999999998,98.48599258468398,39.1565545772187,11.356017797461462,57.51047554793255,91.51005145767341,7482.123464775628,50.53059163682461,9.858221153081766,democracy,,
2,1984-01,52.602272095527255,30.518515497434535,47.84144714267565,104.31889176852758,-7.800280469414346,98.903613844883,-1.9780284789338218,0.0,44.5802276188191,17.35883253616182,16.84352178792094,41.69732697065001,218.39999999999998,96.48481972009368,48.005014256275764,56.61720228212492,53.9288002149526,82.75573155762144,4802.5534768640355,68.97066992253599,10.643201745686072,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
3,1984-02,51.809888333627924,25.851459787133955,48.970132951539725,106.54779023637434,-1.7616201729264591,99.30690974782739,0.11671361352313125,0.0,45.980522208986,17.853187839680132,17.35883253616182,36.10469223523612,208.12226145505127,90.96988628564789,56.12369555635241,57.91014752321194,49.61782006780916,74.26303737147434,3303.978403289534,89.89637790292932,10.243565560966001,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
4,1984-03,53.427318344557335,20.70498794739852,51.40659850468036,108.82431179813771,-15.848874295833262,98.33825412345679,-3.247406869223197,0.0,47.386653928348935,17.355728096731774,17.853187839680132,30.888290158005297,214.30599043394184,82.7118836309159,64.71710298939308,62.10088414945797,47.6468450199721,66.8562658717531,1559.7895296698014,100.0,12.81214539137024,democracy,epidemic|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_caba:restore_transfers
5,1984-04,52.34863144344076,17.461538412347636,54.6237656337514,128.65829124079565,-9.993649912987486,98.02005480831545,-3.4175506583342177,0.0,48.88645356087574,18.221983490660683,17.355728096731774,25.524013141475518,220.23825407616158,75.30466761212,72.93376164909857,64.79998494468904,48.634705612946355,59.827605095906804,994.5468870169083,100.0,13.695250074064838,democracy,epidemic|sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers|fx_regime_exit
6,1984-05,61.43015139686008,11.834447965387149,78.42022733310178,191.92583967557883,-4.375086468888124,98.3198644109857,-1.272455590105546,34.911503285813595,49.72148137473605,18.6004524459276,18.221983490660683,10.929906768011552,214.26873716078128,77.26771748424805,71.50599338610098,74.11010721510485,49.030352575790694,73.66158349510195,1932.3500754783734,100.0,13.4312060477311,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_buenos_aires:restore_transfers|fx_vector_switch:float|forced_devaluation
7,1984-06,63.96075469451936,6.741449237358679,95.82404387801151,230.10447374413084,-4.548502005735049,98.36821630277743,-0.7131979209904868,52.30727473396319,50.54542503930461,23.833843881353495,18.6004524459276,0.0,224.6638018879282,80.3852577616118,69.9752128515368,58.33942453297786,48.419027505690856,88.28026286918465,1366.3944352214908,100.0,13.283852819779106,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
8,1984-07,66.85143608835524,2.6993429370559685,100.0,288.98232300407415,-4.125044598180596,98.47490642663308,-0.10644507742213666,61.706978168139,51.1659394385053,22.86522412139679,23.833843881353495,0.0,229.20542935113122,85.01606604275166,68.2443073259662,49.84385162748792,49.36930173084848,107.48401590767025,666.8678326316499,100.0,13.11694070851309,democracy,sovereign_default,agreement_honored:gov_caba:restore_transfers
9,1984-08,68.76542778093116,0.14317040017095728,100.0,359.7689896616416,-4.879503858530061,98.33031230272125,-0.5988639839737488,79.7742440647435,51.443616640910065,22.740635012713277,22.86522412139679,0.0,292.00612657624197,92.19284805873191,65.9116898084765,48.900232286970734,50.28151473557656,144.36678411922458,0.0,100.0,13.062690734107024,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_caba:restore_transfers
10,1984-09,80.55142282382886,0.0,100.0,452.8856459874139,-6.136388598627467,97.9174625747692,-1.896281052983638,91.1882665549794,51.29042664719102,22.506385423265705,22.740635012713277,0.0,280.38268945676145,99.41544648536055,62.792263636260294,65.01266392597276,51.852734630844104,190.69574348013413,0.0,96.20124638276974,13.13649341206439,democracy,sovereign_default,agreement_honored:gov_cordoba:restore_transfers
