month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,1991-04,58.27706245512194,51.63465519264537,47.83100245305929,100.0,-20.06918933759941,98.83481756865447,2.685687038115311,32.41182651180658,42.365541555715254,4.609460582421702,5.5,61.57532757167431,138.0,100.0,38.013313365812664,10.763272155020442,60.98870372888076,99.93968179732047,9241.532303493179,44.20524408347957,10.427715026068306,democracy,drought,
2,1991-05,53.76083788154223,52.57920738106204,46.79297697661656,100.0,-1.1934946331901815,99.28477563690448,3.5605941786080653,17.50255466279145,42.77237372778045,5.055020817066963,4.609460582421702,50.05482116029812,72.0,100.0,44.31285609753618,22.526524296004467,59.26900695520568,97.38593746018192,7089.626507592168,52.216296737593545,9.945472135207874,democracy,drought|sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
3,1991-06,51.59388047820761,51.0715331723005,46.825369537209724,100.0,-12.677180592854196,98.59448009242733,0.08297905728963784,0.9509054365411582,43.147744584488294,4.384099567874628,5.055020817066963,49.009351214167296,61.31352698906043,100.0,50.16003233529565,42.770348545015935,59.438311133189266,94.80864073013791,6259.654905061805,62.27983450485384,11.517694365998928,democracy,sovereign_default,agreement_honored:gov_cordoba:restore_transfers
4,1991-07,51.32750138430395,50.647780361448575,47.606173516908036,100.0,-3.159291070450886,98.89126372736618,1.159859330655741,0.0,43.54310723641766,4.554274751505706,4.384099567874628,47.92256009577405,66.66024980480356,95.06368394069581,54.89212040925465,67.02977093485526,58.16917548359978,92.57681804755036,5782.7938989769955,73.50158743460528,11.300069175955297,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_cordoba:restore_transfers
5,1991-08,50.1539765218751,50.055190381042074,49.025167411948,100.0,-6.505085562029964,98.88157373497083,0.776645455634957,0.0,43.928369913717965,4.2637692494934445,4.554274751505706,46.92421062297495,58.60919481449554,94.75135634175763,59.02195081176788,63.25434990984698,57.47686602288179,90.29971885856229,5598.94525866949,86.0046999182089,11.638271044616026,democracy,commodity_boom|sovereign_default,agreement_honored:gov_cordoba:restore_transfers
6,1991-09,36.62869569639319,49.288984556042244,50.89692835812977,100.0,-7.225499787595625,98.77467641482956,0.15677444743062807,0.0,44.30795657571756,4.048326611153787,4.2637692494934445,46.02201290140803,60.651297018068476,92.55762408344297,62.72213054166428,61.949545501655436,56.97770155075173,88.29969604245419,5314.666556479122,96.27290130784334,12.148463007876815,democracy,commodity_boom|sovereign_default,agreement_honored:gov_cordoba:restore_transfers
7,1991-10,53.33241615154153,48.525885500472576,53.08117700144669,104.11536768566158,-7.954901516290626,98.6857079945462,-0.21291587117975866,0.0,44.689149865594565,3.940165048091899,4.048326611153787,45.1749819756045,57.165230993921334,87.52269464477297,66.08301910370169,62.34683773089253,57.74184423783035,86.30937226857921,5247.596131254615,100.0,12.621742278550311,democracy,commodity_boom|sovereign_default,agreement_honored:biz_agro:tax_exemption|fx_regime_exit
8,1991-11,42.64499919563418,45.087716048125536,75.57905567706271,111.02446955420974,-2.8856496168683456,99.28654153328833,2.1176712468696173,4.239833394545021,45.01710664720022,4.505217391524767,3.940165048091899,22.256737794769606,54.57991933384544,86.49035002359408,64.4312550992403,54.56782600353192,58.24594051318354,91.00421230315135,4237.46201111107,99.0958985474629,12.269106819227371,democracy,commodity_boom|international_crisis|sovereign_default,fx_vector_switch:float
9,1991-12,55.0124180196876,42.10408777209759,91.82501736695897,116.72330176523973,-4.199043185397267,99.363755804891,1.7635393329115978,5.481867402419985,45.30652319846019,4.572430932916658,4.505217391524767,20.83531445316398,53.281980577102786,85.41038577638443,62.87945117130703,52.71548552653674,58.71380366949563,95.42374332133794,3688.589577019154,98.06758999649463,12.15102563879303,democracy,commodity_boom|international_crisis|sovereign_default,agreement_honored:biz_agro:tax_exemption
10,1992-01,44.16530650767165,39.66341277181241,100.0,122.8420243250838,-4.031340975452514,99.5642371041374,1.9689464592574455,9.252470679623533,45.54819375010712,4.77534742190557,4.572430932916658,19.261653563972967,60.06260869829721,85.0410014019356,61.37842207491136,51.56844503824171,59.06830147550916,101.21737531325698,3312.0517829034325,96.3143209119047,11.985289499641494,democracy,sovereign_default,
11,1992-02,58.767152377430754,37.71168980576243,100.0,129.5984466178795,-4.9495705314236496,99.77030171258832,2.1318820320751657,12.703703857688417,45.73718767537693,4.91574473960037,4.77534742190557,18.09925897916246,60.8691711949999,84.78065927900403,59.90909580561421,49.895381593000224,59.53109560073911,107.38819745189484,3134.7400073850276,94.01380766648458,11.82325816797405,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption
12,1992-03,45.89826770331156,36.27556862920677,100.0,136.96583459321133,-5.258477645143876,100.03831545720985,2.4738051410305717,14.102617759364408,45.86698477541866,5.0735462369886655,4.91574473960037,11.390381746662822,63.30416906286684,84.63644018068592,58.44351416296537,50.20552961628756,59.99132062160978,114.32290386025151,2903.0117713094696,96.17653116625213,11.641192525018894,democracy,sovereign_default,
13,1992-04,60.16439644500063,35.30689527683146,100.0,145.1266508089372,-5.452784400443139,100.35648042802086,2.8968606326257307,17.93229465060806,45.93106938833695,5.222169592721229,5.0735462369886655,8.265848155787255,64.98893687520444,84.75744050281054,56.95788784421073,48.09098612882879,60.47572405112217,121.95046554849313,2704.956628536591,91.80753005482816,11.444925975119581,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption
14,1992-05,60.18495354572049,34.777678832681424,100.0,154.0946983896372,-5.237759331933666,100.69371398260662,3.2601412882784353,24.51243718738131,45.921698350628674,5.357372201724445,5.222169592721229,6.550510619745873,66.88255484386399,85.74275623755874,55.428098980071695,45.326472766532845,60.9575666596364,130.397050736986,2468.6696264193365,87.30342108114942,11.248099241210458,democracy,sovereign_default,agreement_honored:gov_cordoba:restore_transfers
15,1992-06,49.90959803976661,34.3854168090536,100.0,163.90065162440837,-6.701809037393785,100.61378963646604,1.9975976539422413,29.268587930635903,45.82237380534897,5.342073216748931,5.357372201724445,4.913550619906417,68.66603511265474,86.9470857899531,53.84306575667205,62.012869127521554,61.875780608132224,139.6512353125644,2247.1889451249767,82.5819788315255,11.235313278554964,democracy,sovereign_default,agreement_honored:gov_cordoba:restore_transfers
16,1992-07,50.24897819884282,34.54197422685604,100.0,178.49429995400777,-6.21408970261375,101.03611245028732,2.944783370171315,36.3869842533184,45.6290418048665,5.585114414123921,5.342073216748931,3.1158251198470284,70.28846642069334,88.63658633438467,52.16072476363635,41.221452458088336,63.16068080398395,150.0172025418278,783.8716307976392,78.4606596507374,11.019991685913217,democracy,international_crisis|sovereign_default,
17,1992-08,48.71055319061921,35.19923551009424,100.0,238.26381432125845,-5.958782799994911,101.48308752107165,3.6932851626327907,38.1421738763258,45.339092594222365,5.695204235538872,5.585114414123921,0.0,70.10487860098718,90.1411083454089,50.36790157235264,37.80346209073833,63.72303604014123,160.95224184607358,1532.498362013393,77.82372803935932,10.809223323307974,democracy,international_crisis|sovereign_default,forced_devaluation
18,1992-09,49.2938834692784,35.36120034089948,100.0,254.69475419916884,-6.341688866800533,101.89636509293378,4.084642684110762,33.519844178650985,45.13297896109561,10.80178819136918,5.695204235538872,0.0,73.02137296948705,90.67399820176519,48.61668605414703,35.082628515538865,62.74759810099968,165.37974753289632,805.4801136320991,73.0665803062942,10.627363192819846,democracy,sovereign_default,
19,1992-10,48.98962784401406,35.715403296567025,100.0,285.9736311873467,-6.243268651510576,102.42920253596454,4.796862616810359,34.79169755604399,44.81950570186174,9.248158937592926,10.80178819136918,0.0,74.34245082646646,91.71897528775276,46.83559732877105,33.0162446859034,63.89124472719792,173.0320374932343,458.2273036866337,67.6138517330197,10.406312529718548,democracy,sovereign_default,
20,1992-11,68.43005546823554,36.911535645632824,100.0,316.0422673841809,-6.24125242244529,102.750498147885,4.506723540068222,56.476138439993385,44.23699951240391,9.099958782979995,9.248158937592926,0.0,135.62145829643015,95.17633484284163,44.5241225426211,29.046775889722426,64.66281488079888,200.0,172.1506829348966,59.59700956839656,10.285303095628576,democracy,sovereign_default,
21,1992-12,66.71019750805517,38.90012125120989,100.0,352.05820614819623,-5.788195037270652,103.23897480887544,4.911615192128725,68.94298182142673,43.42354417548511,8.8344543247362,9.099958782979995,0.0,116.97790725111511,99.8183593509084,41.808754547012526,21.319361025769688,65.66591636503084,200.0,167.645747439805,50.00530986806642,10.117572659970088,democracy,sovereign_default,agreement_honored:gov_caba:restore_transfers
22,1993-01,68.35307095205783,40.508722202073976,100.0,391.3561370201712,-7.238670625359317,103.38740861544473,3.9598402018059407,78.8643157329564,42.60153149498982,8.549087885044662,8.8344543247362,0.0,115.19950539575993,100.0,39.294610745021764,15.2691022264715,67.03273417787152,200.0,0.0,42.14322804002741,10.094447935785483,democracy,drought|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_mendoza:restore_transfers
23,1993-02,67.3878785787104,41.96251375419222,100.0,542.688067937152,-7.17876466724905,103.73998004408341,4.022849118857941,87.83457679266887,41.777693522851,8.414636680836507,8.549087885044662,0.0,112.0134518968344,100.0,36.96290452907889,11.83038496916867,68.24706317405239,200.0,1500.0,36.40558598060652,9.98967432725746,democracy,drought|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_cordoba:restore_transfers|forced_devaluation
24,1993-03,61.49263735757258,46.60602620715839,100.0,595.503546498874,-6.319062481616967,104.51860200438325,5.6323567959927185,87.40803182594352,41.16805366370514,13.401698439757164,8.414636680836507,0.0,108.58905462053593,100.0,35.01723090041394,10.137007357162835,67.00925930643282,200.0,959.8103282318111,38.75918423135602,9.717388157708212,democracy,growth_surprise|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_caba:restore_transfers
25,1993-04,70.97106802172868,47.09806663882006,100.0,684.7927427500546,-9.020008566246833,105.63530272627906,8.023241251447663,90.8562671806589,40.493798719609075,11.956831034770698,13.401698439757164,0.0,106.97564017003808,100.0,33.12341899875784,9.358853537645858,68.0625425337034,200.0,721.6668270037442,34.75919063893856,9.3218561757425,democracy,,agreement_honored:biz_agro:tax_exemption
26,1993-05,73.62958035544862,48.358643332354106,99.92150695106312,919.8171390105882,-6.320021680184702,106.50737202488898,8.726964708117757,98.88243895477066,39.61468124031741,12.19681600951547,11.956831034770698,0.0,166.82038127708597,100.0,30.800603960676252,4.6117876066651275,75.55629861435511,200.0,849.5906103771932,27.899784145635103,9.0419048008926,democracy,sovereign_default,agreement_honored:gov_caba:restore_transfers
27,1993-06,71.18198858141376,49.233588651224416,99.16698965141408,1045.5229994426938,-7.341273211072195,107.19444995430496,8.515427526860456,100.0,38.7720212556628,11.681515948531494,12.19681600951547,0.0,149.48197241724836,100.0,28.74953676354613,0.6909578913534666,76.43050976670867,200.0,955.7398463055911,22.728228872052156,8.847332171578035,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
28,1993-07,71.83912821107518,49.37744839054074,98.16582957881293,1182.9990255522707,-7.403023307591735,107.86068410944996,8.27636021853299,100.0,37.90106098214007,11.397768998782556,11.681515948531494,0.0,152.36179211418562,100.0,26.768194529003704,1.0524913365021822,77.24164298845085,200.0,1053.9369099376765,19.857560940678688,8.669521040487139,democracy,sovereign_default,agreement_honored:gov_caba:restore_transfers
29,1993-08,72.00700687708638,50.264823667352665,96.90945793799973,1335.4402267823057,-7.025576294876366,108.67975253241961,8.644323923114353,100.0,37.03674155251606,11.199109485011519,11.397768998782556,0.0,146.17819138237792,100.0,24.926706543680755,0.0,77.89204222203638,200.0,1246.0822823041808,16.22327019287295,8.440378442062809,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
30,1993-09,71.82345675000424,51.09523205732,95.66256283058345,1505.1622257798072,-7.153803291914601,109.44706748253148,8.693805376588791,100.0,36.171764072286166,11.024955760023898,11.199109485011519,0.0,142.7732279853907,100.0,23.192929955996792,0.0,78.59414343941064,200.0,1412.2019523842864,14.363190710333667,8.241668180113734,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_caba:restore_transfers
31,1993-10,73.47579380014585,51.78153280561713,94.32215089357264,1694.1609046670037,-8.004170858364386,110.05941418720481,8.162982672001014,100.0,35.30350351435966,10.85436301108766,11.024955760023898,0.0,140.38931382013823,100.0,21.552572789718106,8.49992670262732,79.4903982663988,200.0,1543.5758229915457,11.442138126226327,8.111277950751136,democracy,sovereign_default,agreement_honored:gov_caba:restore_transfers
32,1993-11,73.0351235812836,52.55143249459735,93.1115107573874,1904.2288495647572,-7.10123201723937,110.96633624266713,8.81880331906769,100.0,34.433108763735774,10.824847432754792,10.85436301108766,0.0,138.29946912028677,100.0,19.983712822415487,0.0,80.05300293174987,200.0,1733.7829351266628,10.43081190236128,7.874907193938495,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
33,1993-12,73.37613547929696,52.811684414172646,92.3280302183188,2140.0902128776215,-8.412078812066294,111.53789963975758,8.080886757171069,100.0,33.561390906019035,10.69445559284259,10.824847432754792,0.0,136.25235613305193,100.0,18.49477968330421,0.0,81.0188151961357,200.0,1968.082367809764,12.42844284015481,7.7760975854277135,democracy,flood|sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
34,1994-01,73.23257470231948,53.45423601401683,91.3963616034202,2402.537475477247,-7.926956390021208,112.32075278863832,8.283217517565413,100.0,32.688894376879055,10.690726033376334,10.69445559284259,0.0,135.8981691930575,100.0,17.051965132283065,0.0,81.74781691346935,200.0,2261.4722159906446,10.070823264890983,7.602692941527008,democracy,flood|sovereign_default,agreement_honored:gov_cordoba:restore_transfers
35,1994-02,74.27321277883189,54.174112107973166,90.38102938522405,2697.248001826288,-7.487612377765043,113.29051436166695,9.058369199890285,100.0,31.822156388072308,10.734698216948956,10.690726033376334,0.0,134.3334671141111,100.0,15.66054037234375,0.0,82.2921483025191,200.0,2610.842950804304,7.958068096651536,7.367909246167381,democracy,sovereign_default,agreement_honored:gov_rio_negro:restore_transfers
36,1994-03,73.3520000127573,54.882628683217355,89.18264816571195,3029.608710075919,-7.170195294509303,114.19263892291403,9.336454935181095,100.0,30.956899545446902,10.758981485561472,10.734698216948956,0.0,134.288712400516,100.0,14.308219370707416,0.0,82.87758724863208,200.0,2908.9857379645396,4.638295130500766,7.169506855504365,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_cordoba:restore_transfers
37,1994-04,73.57610227209871,55.34586942375158,88.01378091188168,3403.742853413289,-8.52963465079323,114.72926851267825,8.271697531183419,100.0,30.089747428292412,10.693748455157118,10.758981485561472,0.0,134.81637860338748,100.0,12.996212519722949,4.439322304488492,83.8849429624867,200.0,3260.4570079413033,2.746795024206355,7.114597200047174,democracy,sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_cordoba:restore_transfers
38,1994-05,73.61691800580705,55.97202552738611,86.95690095835197,3821.8117265366727,-7.60467908948847,115.7999426738711,9.327688751298062,100.0,29.222767394725732,10.827403322380889,10.693748455157118,0.0,135.10777782673767,100.0,11.702166528802739,0.0,84.34619158572458,200.0,3638.1057131916655,1.834155835539844,6.867931516639593,democracy,sovereign_default,agreement_honored:gov_caba:restore_transfers
39,1994-06,72.53914906915843,56.42985800292769,85.82656696907414,4296.891798826565,-8.751992333027374,116.51580589426065,8.8321132348315,100.0,28.36113507934985,10.825194827009344,10.827403322380889,0.0,134.32498146188541,100.0,10.453754353055563,0.0,85.23121953316851,200.0,3972.238377003468,0.0,6.761733074350432,democracy,flood|sovereign_default,agreement_honored:gov_rio_negro:restore_transfers
40,1994-07,75.06011767382722,56.50587687797964,84.75765126223679,4830.535619422367,-9.933810340695393,116.72812477324565,6.845097686436063,100.0,27.493758874718463,10.733620297484576,10.825194827009344,0.0,135.92883986857066,100.0,9.234758700840704,12.910258701422746,86.62208803342463,200.0,4424.404039194801,0.0,6.841584138184021,democracy,flood|sovereign_default,agreement_honored:gov_rio_negro:restore_transfers
41,1994-08,73.15052518695002,56.960462709852195,83.90043962878364,5425.990816891373,-7.609359125519173,117.99362282919776,8.93581852553766,100.0,26.628419107779322,10.976799233134665,10.733620297484576,0.0,135.90233792411215,100.0,8.018941986375756,0.0,86.90183714012508,200.0,4822.91542315257,0.0,6.541501082395866,democracy,sovereign_default,agreement_honored:gov_buenos_aires:restore_transfers
42,1994-09,71.96279672194761,56.99731063530271,83.38274395992308,6379.883544605885,-9.305115418777019,118.2942395535708,7.185220188412268,100.0,25.774301474369455,10.97374802418812,10.976799233134665,0.0,134.8034435698149,100.0,6.865067739992359,0.0,90.32636592640394,200.0,2936.494590802539,0.0,6.598830921315271,democracy,banking_crisis|sovereign_default,agreement_honored:gov_caba:restore_transfers
43,1994-10,73.64310563447258,56.960364338567096,82.78494071696353,7192.264624254529,-8.99885236547509,118.79060823374985,6.575586337771837,100.0,24.90893576414279,10.992360694711241,10.97374802418812,0.0,137.721590797616,100.0,5.705501821836773,0.0,91.48360031801226,200.0,3389.869110740403,0.0,6.585209230357187,democracy,sovereign_default,agreement_honored:gov_caba:restore_transfers
44,1994-11,74.29162610053717,57.038988041236024,82.16082434437547,8108.673399404533,-9.194038163967916,119.62632395231306,7.235915650276384,100.0,24.045755181828092,11.104227542914376,10.992360694711241,0.0,137.68497629025745,100.0,4.561207234411352,27.741059436029133,92.35512317467132,200.0,3928.1874955505236,0.0,6.453363018650346,democracy,sovereign_default,
45,1994-12,74.67954248764129,57.193862628809626,81.72993861019727,9150.076613278809,-8.058186038623912,120.4989914892333,7.799294278772527,100.0,23.186050490383046,11.215531488823967,11.104227542914376,0.0,137.9083283365349,100.0,3.4337978824885402,0.0,93.1044741596376,200.0,4075.1073247450677,0.0,6.315333912369982,democracy,drought|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_buenos_aires:restore_transfers
46,1995-01,74.71809893894694,57.325512765902346,81.62475973734736,10336.146835961614,-9.398072999691887,121.21796750144291,7.6794130110788865,100.0,22.324862082299703,11.270433214784719,11.215531488823967,0.0,139.25073051497253,100.0,2.3162302485902817,0.0,94.11977646302417,200.0,4272.977567531445,1.327330476616658,6.237738650139939,democracy,drought|sovereign_default,agreement_honored:biz_agro:tax_exemption|agreement_honored:gov_cordoba:restore_transfers
